   R       RHORPP       DRHORPP       RHORNP       DRHORNP
25.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
33.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
34.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
35.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
