   R      RHORPP      DRHORPP     RHORNP    DRHORNP     RHORNN    DRHORNN
 15.45  5.29E-13    3.694E-13   3.219E-8   1.893E-8   2.18E-7    6.66E-8
 15.55  3.9735E-11  3.9619E-11  4.82E-8    1.867E-8   2.475E-7   7.04E-8
 15.65  1.1034E-12  7.763E-13   2.31E-8    1.239E-8   2.046E-7   6.15E-8
 15.75  2.28E-13    1.632E-13   2.817E-8   1.466E-8   2.127E-7   6.31E-8
 15.85  2.0652E-13  1.9293E-13  1.172E-8   8.75E-9    1.15E-7    4.8E-8
 15.95  3.0904E-12  2.8402E-12  2.822E-8   1.415E-8   2.693E-7   7.93E-8
 16.05  1.2102E-11  1.1583E-11  2.135E-8   1.199E-8   1.796E-7   6.22E-8
 16.15  6.247E-14   3.343E-14   1.926E-8   1.081E-8   1.181E-7   5.39E-8
 16.25  2.0317E-13  1.6082E-13  7.75E-9    7.3E-9     1.426E-7   5.01E-8
 16.35  4.931E-14   3.392E-14   9.65E-9    7.49E-9    9.46E-8    4.51E-8
 16.45  5.412E-14   4.694E-14   2.953E-8   1.466E-8   8.81E-8    3.92E-8
 16.55  1.6753E-12  1.5524E-12  1.526E-8   9.77E-9    1.591E-7   5.23E-8
 16.65  8.62E-15    6.199E-15   3.09E-9    3.06E-9    4E-8       2.498E-8
 16.75  2.6666E-14  1.7767E-14  7.39E-9    7.29E-9    4.939E-8   2.816E-8
 16.85  3.925E-12   3.9248E-12  1.336E-8   8.01E-9    7.07E-8    3.3E-8
 16.95  1.1885E-14  1.0876E-14  7.18E-9    7.1E-9     4.826E-8   2.777E-8
 17.05  6.9029E-13  6.8986E-13  9.442E-10  7.914E-10  4.011E-8   2.359E-8
 17.15  9.489E-15   7.058E-15   2.115E-8   1.231E-8   6.01E-8    3.46E-8
 17.25  1.142E-14   7.91E-15    4.63E-9    4.37E-9    7.564E-8   3.332E-8
 17.35  3.1899E-14  3.1239E-14  7.47E-11   6.25E-11   2.6363E-8  1.8729E-8
 17.45  2.833E-16   2.701E-16   4.26E-11   4.19E-11   2.61E-8    2.09E-8
 17.55  1.958E-15   1.858E-15   3.65E-11   3.15E-11   2.58E-8    1.823E-8
 17.65  4.415E-15   4.2416E-15  6.41E-11   4.032E-11  3.829E-8   2.226E-8
 17.75  3.3819E-15  3.2937E-15  3.33E-11   2.85E-11   2.52E-8    1.794E-8
 17.85  0           0           0          0          0          0
 17.95  1.2677E-14  1.2677E-14  3.14E-11   3.14E-11   1.2363E-8  1.2363E-8
 18.05  1.8615E-15  1.8615E-15  1.462E-11  1.461E-11  1.2244E-8  1.2244E-8
 18.15  0           0           0          0          0          0
 18.25  0           0           0          0          0          0
 18.35  5.0597E-15  5.0484E-15  4.94E-11   4.468E-11  2.36E-8    2.26E-8
 18.45  4.448E-15   4.448E-15   5.62E-11   5.62E-11   1.1603E-8  1.1603E-8
 18.55  3.804E-16   3.049E-16   4.55E-9    4.54E-9    1.861E-8   1.507E-8
 18.65  8.5384E-16  8.5384E-16  1.062E-11  1.062E-11  1.1392E-8  1.1392E-8
 18.75  0           0           0          0          0          0
 18.85  0           0           0          0          0          0
 18.95  0           0           0          0          0          0
 19.05  0           0           0          0          0          0
 19.15  0           0           0          0          0          0
 19.25  0           0           0          0          0          0
 19.35  0           0           0          0          0          0
 19.45  0           0           0          0          0          0
 19.55  1.1615E-14  1.1615E-14  1.09E-11   1.09E-11   1.04E-8    1.04E-8
 19.65  0           0           0          0          0          0
 19.75  0           0           0          0          0          0
 19.85  0           0           0          0          0          0
 19.95  0           0           0          0          0          0
 20.05  0           0           0          0          0          0
