   R     RHORPP_V18   DRHORPP_V18   RHORNP_V18   DRHORNP_V18
29.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
30.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
31.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
32.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
